batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
1754,49,0.03708,0.667,2.1508,1.6133,0.17,0.212
1755,25,0.04679,0.444,2.1936,1.5885,0.174,0.205
1756,28,0.01932,0.444,2.186,1.6084,0.201,0.233
1757,49,0.01314,0.444,2.1491,1.6436,0.214,0.252
1758,12,0.00783,0.667,2.23,1.619,0.138,0.181
1759,17,0.01921,0.667,2.1514,1.6468,0.247,0.288
1760,21,0.01547,0.667,2.1987,1.6288,0.185,0.223
1761,28,0.02055,0.667,2.2158,1.6156,0.157,0.204
1762,27,0.01802,0.667,2.2165,1.6368,0.159,0.201
1763,15,0.01483,0.667,2.242,1.6843,0.128,0.177
1764,26,0.02682,0.667,2.2257,1.631,0.154,0.207
1765,17,0.02408,0.667,2.2004,1.6938,0.145,0.185
1766,21,0.02411,0.667,2.1433,1.6281,0.181,0.232
1767,17,0.02472,0.667,2.2188,1.6133,0.177,0.234
1768,15,0.02829,0.667,2.1761,1.6638,0.203,0.255
1769,34,0.02123,0.667,2.1682,1.6529,0.237,0.282
1770,21,0.02212,0.667,2.1821,1.6642,0.212,0.268
1771,15,0.01767,0.667,2.131,1.61,0.256,0.304
1772,33,0.01869,0.667,2.1513,1.6631,0.242,0.283
1773,17,0.02488,0.667,2.278,1.7069,0.172,0.23
1774,23,0.03667,0.667,2.1779,1.6746,0.241,0.287
1775,9,0.0292,0.667,2.1664,1.6737,0.198,0.262
1776,13,0.03903,0.667,2.0702,1.6304,0.336,0.396
1777,22,0.03583,0.667,2.1935,1.6283,0.24,0.302
1778,12,0.02694,0.667,2.1101,1.6455,0.288,0.332
1779,25,0.02751,0.667,2.1976,1.6774,0.285,0.331
1780,49,0.01885,0.667,2.1027,1.6361,0.298,0.348
1781,19,0.02092,0.667,2.1316,1.6425,0.27,0.319
1782,20,0.02329,0.667,2.0606,1.5533,0.311,0.356
1783,9,0.01928,0.667,2.0692,1.5689,0.289,0.342
1784,23,0.02034,0.667,2.1424,1.6392,0.317,0.366
1785,36,0.02451,0.667,2.184,1.6402,0.248,0.293
1786,30,0.02709,0.667,2.1365,1.6412,0.23,0.288
1787,13,0.03752,0.667,2.1538,1.5854,0.226,0.301
1788,10,0.03973,0.667,2.2478,1.6704,0.214,0.273
1789,17,0.03461,0.667,2.1345,1.6498,0.336,0.384
1790,42,0.02577,0.667,2.2381,1.6805,0.211,0.252
1791,31,0.02579,0.667,2.2385,1.6942,0.197,0.247
1792,23,0.0285,0.667,2.2386,1.6834,0.233,0.286
1793,12,0.01701,0.667,2.2433,1.6508,0.225,0.274
1794,24,0.03201,0.667,2.1949,1.6714,0.275,0.321
1795,13,0.03182,0.667,2.1927,1.6669,0.236,0.281
1796,12,0.01796,0.667,2.2629,1.7481,0.236,0.294
1797,11,0.02993,0.667,2.1406,1.6298,0.282,0.334
1798,25,0.02084,0.667,2.1806,1.6277,0.238,0.3
1799,13,0.02925,0.667,2.1969,1.6979,0.255,0.303
1800,16,0.02245,0.667,2.2316,1.6571,0.269,0.316
1801,20,0.02292,0.667,2.2245,1.6981,0.247,0.299
1802,15,0.01859,0.667,2.2064,1.6743,0.272,0.318
1803,25,0.01891,0.667,2.1176,1.6279,0.3,0.35
1804,17,0.02371,0.667,2.1342,1.5941,0.236,0.289
1805,17,0.02336,0.667,2.1138,1.6433,0.35,0.393
1806,25,0.03423,0.667,2.1444,1.6395,0.352,0.393
1807,17,0.03533,0.667,2.1282,1.5835,0.279,0.338
1808,37,0.0294,0.667,2.3137,1.686,0.181,0.234
1809,14,0.03547,0.667,2.2747,1.6168,0.234,0.276
1810,13,0.03073,0.667,2.1829,1.6209,0.258,0.317
1811,19,0.0236,0.667,2.2146,1.6667,0.273,0.311
1812,49,0.02272,0.667,2.1999,1.6127,0.25,0.305
1813,17,0.01985,0.667,2.1649,1.5996,0.318,0.359
1814,35,0.02092,0.667,2.2046,1.6612,0.248,0.308
1815,14,0.0209,0.667,2.1032,1.6372,0.334,0.387
1816,33,0.02047,0.667,2.1673,1.6097,0.344,0.389
1817,12,0.02201,0.667,2.1572,1.6001,0.341,0.391
1818,13,0.02424,0.667,2.2052,1.6098,0.305,0.368
1819,49,0.02725,0.667,2.1512,1.6781,0.334,0.402
1820,49,0.02513,0.667,2.1568,1.6392,0.351,0.421
1821,18,0.01576,0.667,2.0977,1.6138,0.336,0.385
1822,17,0.03075,0.667,2.1474,1.6276,0.323,0.386
1823,11,0.01638,0.667,2.1804,1.6675,0.332,0.393
1824,14,0.02939,0.667,2.2444,1.6972,0.297,0.359
1825,19,0.0213,0.667,2.2184,1.6579,0.225,0.279
