batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
879,26,0.03518,0.444,2.349,1.8018,0.277,0.302
880,15,0.02409,0.444,2.3409,1.729,0.232,0.254
881,17,0.01456,0.444,2.3024,1.6975,0.253,0.277
882,9,0.01839,0.444,2.2757,1.7557,0.322,0.34
883,20,0.01883,0.444,2.3077,1.7439,0.273,0.313
884,41,0.0118,0.444,2.3721,1.7496,0.241,0.272
885,15,0.01329,0.444,2.3673,1.7259,0.267,0.296
886,9,0.02823,0.444,2.4028,1.7795,0.235,0.277
887,18,0.0261,0.444,2.3497,1.7122,0.22,0.238
888,28,0.02711,0.444,2.4206,1.8353,0.236,0.267
889,18,0.02108,0.444,2.3481,1.7448,0.266,0.296
890,18,0.02529,0.444,2.3666,1.7139,0.196,0.219
891,32,0.01459,0.444,2.3399,1.791,0.285,0.305
892,11,0.0194,0.444,2.3262,1.6956,0.254,0.279
893,49,0.0225,0.444,2.4636,1.7807,0.121,0.164
894,15,0.02657,0.444,2.4212,1.7653,0.172,0.2
895,21,0.02772,0.444,2.4265,1.8561,0.226,0.242
896,21,0.04091,0.296,2.3278,1.7298,0.265,0.289
897,12,0.01553,0.296,2.3876,1.7401,0.245,0.27
898,25,0.01313,0.296,2.3118,1.794,0.297,0.314
899,19,0.01471,0.296,2.3484,1.7377,0.266,0.282
900,26,0.01047,0.296,2.3251,1.6565,0.238,0.257
901,19,0.00708,0.444,2.3442,1.7529,0.246,0.261
902,14,0.01685,0.444,2.3298,1.73,0.264,0.284
903,14,0.01421,0.444,2.2676,1.6698,0.25,0.264
904,28,0.01598,0.444,2.3223,1.6976,0.268,0.297
905,19,0.01662,0.444,2.3134,1.6796,0.257,0.286
906,24,0.01433,0.444,2.2859,1.7142,0.299,0.327
907,35,0.01472,0.444,2.4181,1.6879,0.181,0.199
908,14,0.017,0.444,2.3477,1.6908,0.183,0.229
909,19,0.01514,0.444,2.3326,1.6931,0.293,0.314
910,20,0.02227,0.444,2.3257,1.6971,0.25,0.275
911,11,0.02032,0.444,2.3132,1.6662,0.214,0.242
912,30,0.01687,0.444,2.4704,1.7144,0.172,0.209
913,13,0.01684,0.444,2.4225,1.7652,0.181,0.209
914,14,0.02064,0.444,2.3716,1.7318,0.197,0.228
915,14,0.02941,0.444,2.3259,1.6754,0.245,0.28
916,13,0.02666,0.444,2.3085,1.6808,0.278,0.298
917,23,0.01673,0.444,2.3156,1.6696,0.236,0.247
918,26,0.01583,0.444,2.3469,1.6802,0.247,0.273
919,15,0.01317,0.444,2.328,1.6933,0.213,0.248
920,16,0.01662,0.444,2.3433,1.6494,0.194,0.234
921,9,0.01391,0.444,2.3491,1.6817,0.233,0.256
922,17,0.0113,0.444,2.3862,1.711,0.19,0.221
923,19,0.01799,0.444,2.2676,1.7002,0.253,0.284
924,17,0.01647,0.444,2.3855,1.6627,0.206,0.234
925,13,0.01936,0.444,2.3487,1.6225,0.176,0.222
926,24,0.01729,0.444,2.2996,1.5971,0.205,0.232
927,22,0.01614,0.444,2.2794,1.6115,0.24,0.268
928,9,0.03676,0.444,2.2376,1.6277,0.245,0.276
929,24,0.02973,0.444,2.3481,1.6687,0.257,0.286
930,11,0.01727,0.444,2.3154,1.6776,0.236,0.265
931,21,0.01639,0.444,2.2966,1.6961,0.252,0.277
932,30,0.01417,0.444,2.2775,1.6988,0.293,0.326
933,22,0.01926,0.444,2.2867,1.7249,0.301,0.325
934,21,0.01733,0.444,2.3047,1.6693,0.301,0.327
935,11,0.01175,0.444,2.1857,1.6636,0.344,0.375
936,23,0.02669,0.444,2.2087,1.6772,0.34,0.366
937,26,0.01662,0.444,2.2377,1.6223,0.353,0.376
938,26,0.01115,0.444,2.2839,1.6314,0.23,0.258
939,13,0.01562,0.444,2.3013,1.6851,0.326,0.353
940,9,0.01288,0.444,2.2746,1.6704,0.298,0.334
941,25,0.01039,0.444,2.225,1.5966,0.276,0.32
942,36,0.01586,0.444,2.2607,1.5785,0.242,0.268
943,32,0.01744,0.444,2.2735,1.6563,0.287,0.323
944,12,0.01212,0.444,2.2417,1.6672,0.331,0.375
945,12,0.01249,0.444,2.1699,1.5916,0.367,0.392
946,9,0.01423,0.444,2.3248,1.6424,0.251,0.274
947,20,0.02005,0.444,2.2268,1.6165,0.31,0.329
948,38,0.01884,0.444,2.1959,1.6049,0.317,0.352
949,17,0.01329,0.444,2.2812,1.6179,0.23,0.282
950,16,0.01237,0.444,2.2193,1.5307,0.268,0.301
951,11,0.01549,0.444,2.3627,1.6613,0.217,0.248
952,17,0.01627,0.444,2.3261,1.6506,0.268,0.318
953,11,0.01067,0.444,2.2934,1.5586,0.229,0.252
954,20,0.01743,0.444,2.3112,1.599,0.249,0.276
955,17,0.01345,0.444,2.2094,1.5634,0.263,0.301
956,31,0.0121,0.444,2.237,1.5828,0.302,0.328
957,49,0.01068,0.444,2.2499,1.6251,0.272,0.307
958,29,0.02157,0.444,2.169,1.5661,0.311,0.341
959,10,0.01878,0.444,2.2884,1.6217,0.263,0.311
960,34,0.01966,0.444,2.2197,1.5733,0.26,0.281
