batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
407,7,0.03646,0.444,2.1922,1.772,0.472,0.563
408,11,0.0355,0.444,2.3496,1.8246,0.345,0.462
409,8,0.03693,0.444,2.3956,1.8175,0.375,0.483
410,13,0.0358,0.444,2.3656,1.8472,0.342,0.454
411,10,0.0452,0.296,2.3458,1.8181,0.362,0.446
412,7,0.02278,0.296,2.2502,1.7512,0.421,0.481
413,7,0.01321,0.296,2.3288,1.8372,0.412,0.462
414,10,0.01715,0.296,2.2657,1.7634,0.447,0.525
415,9,0.01387,0.296,2.3244,1.7944,0.406,0.474
416,11,0.02251,0.296,2.314,1.7763,0.418,0.485
417,7,0.01453,0.296,2.2719,1.7992,0.446,0.502
418,11,0.01699,0.296,2.2781,1.7967,0.434,0.513
419,18,0.01159,0.296,2.2515,1.7524,0.445,0.524
420,9,0.01666,0.296,2.2334,1.7564,0.489,0.534
421,10,0.0184,0.296,2.2667,1.7513,0.412,0.481
422,7,0.0114,0.296,2.3215,1.7527,0.411,0.48
423,9,0.0167,0.296,2.2264,1.7777,0.456,0.516
424,9,0.01659,0.296,2.3237,1.8129,0.41,0.487
425,10,0.00861,0.444,2.3585,1.8442,0.381,0.446
426,7,0.02306,0.444,2.2211,1.8253,0.497,0.57
427,12,0.01879,0.444,2.2024,1.7554,0.449,0.557
428,11,0.01971,0.444,2.2534,1.8059,0.448,0.53
429,7,0.0206,0.444,2.2914,1.7576,0.396,0.496
430,13,0.02029,0.444,2.331,1.7845,0.347,0.46
431,8,0.02392,0.444,2.2509,1.7521,0.428,0.525
432,15,0.03241,0.444,2.2647,1.7162,0.384,0.484
433,9,0.02609,0.444,2.3266,1.8616,0.413,0.496
434,13,0.03994,0.444,2.3125,1.833,0.381,0.512
435,17,0.04498,0.296,2.3323,1.8317,0.359,0.454
436,7,0.01482,0.296,2.2938,1.7693,0.403,0.477
437,22,0.02592,0.296,2.3671,1.7606,0.311,0.417
438,13,0.01341,0.296,2.3699,1.7813,0.388,0.476
439,8,0.01945,0.296,2.2322,1.7556,0.432,0.501
440,14,0.01605,0.296,2.2619,1.796,0.4,0.47
441,14,0.01606,0.296,2.3041,1.7718,0.382,0.462
442,7,0.01244,0.296,2.2979,1.7699,0.383,0.457
443,9,0.01982,0.296,2.2322,1.6958,0.429,0.512
444,8,0.0164,0.296,2.3198,1.747,0.379,0.454
445,14,0.01246,0.296,2.3183,1.8022,0.392,0.484
446,9,0.01801,0.296,2.2826,1.7533,0.393,0.455
447,7,0.00976,0.444,2.3134,1.7833,0.347,0.435
448,9,0.02217,0.444,2.2283,1.7718,0.429,0.52
449,13,0.01671,0.444,2.2899,1.7409,0.352,0.435
450,15,0.03126,0.444,2.1666,1.6962,0.405,0.52
451,9,0.03326,0.444,2.2601,1.8028,0.446,0.543
452,13,0.01951,0.444,2.2043,1.7312,0.444,0.531
453,7,0.02546,0.444,2.3284,1.7613,0.348,0.44
