batch,total_batches,episode_len,data_points,total_data,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
279,1200,24.5,196,10000,0.01533,3.375,3.3729,2.6876,0.234,0.341
280,1200,21.8,174,10000,0.02157,3.375,3.3513,2.79,0.343,0.453
281,1200,25.2,202,10000,0.016,3.375,3.3877,2.6776,0.26,0.358
282,1200,31.8,254,10000,0.02445,3.375,3.4175,2.7112,0.214,0.345
283,1200,25.2,202,10000,0.02808,3.375,3.3088,2.7322,0.311,0.409
284,1200,27.0,216,10000,0.02164,3.375,3.2679,2.5663,0.303,0.398
285,1200,30.2,242,10000,0.02377,3.375,3.3703,2.6217,0.221,0.334
286,1200,26.5,212,10000,0.02809,3.375,3.4351,2.6628,0.245,0.355
287,1200,18.8,150,10000,0.0392,3.375,3.336,2.7541,0.3,0.446
288,1200,27.5,220,10000,0.02626,3.375,3.2404,2.7628,0.368,0.469
289,1200,20.2,162,10000,0.02659,3.375,3.2799,2.5995,0.323,0.406
290,1200,21.8,174,10000,0.01983,3.375,3.3108,2.6664,0.369,0.478
291,1200,29.2,234,10000,0.02101,3.375,3.3068,2.6368,0.265,0.391
292,1200,21.0,168,10000,0.02033,3.375,3.3603,2.6873,0.292,0.426
293,1200,23.0,184,10000,0.01912,3.375,3.227,2.5742,0.368,0.44
294,1200,28.0,224,10000,0.01919,3.375,3.4159,2.7056,0.291,0.407
295,1200,28.8,230,10000,0.02152,3.375,3.3075,2.7342,0.408,0.492
296,1200,27.0,216,10000,0.01645,3.375,3.2693,2.6572,0.296,0.398
297,1200,16.2,130,10000,0.01365,3.375,3.337,2.6939,0.282,0.44
298,1200,27.8,222,10000,0.01883,3.375,3.2793,2.6655,0.311,0.424
299,1200,22.2,178,10000,0.01997,3.375,3.3049,2.7254,0.306,0.413
300,1200,23.8,190,10000,0.01395,3.375,3.1429,2.6051,0.432,0.504
301,1200,21.8,174,10000,0.01702,3.375,3.2095,2.6028,0.387,0.465
302,1200,23.0,184,10000,0.02159,3.375,3.2449,2.5758,0.377,0.455
303,1200,26.5,212,10000,0.02831,3.375,3.3709,2.6283,0.329,0.42
304,1200,23.2,186,10000,0.01758,3.375,3.2955,2.6215,0.329,0.435
305,1200,25.5,204,10000,0.02058,3.375,3.3572,2.7086,0.254,0.364
306,1200,28.8,230,10000,0.01802,3.375,3.3519,2.7007,0.305,0.411
307,1200,35.8,286,10000,0.01502,3.375,3.3086,2.6843,0.342,0.432
308,1200,19.8,158,10000,0.029,3.375,3.1561,2.628,0.399,0.511
