batch,episode_len,kl,lr_multiplier,loss,entropy,explained_var_old,explained_var_new
196,18,0.02723,0.444,2.4924,1.9544,0.334,0.428
197,11,0.0318,0.444,2.5181,1.9902,0.338,0.415
198,9,0.01761,0.444,2.4487,1.8776,0.348,0.435
199,7,0.01786,0.444,2.4926,1.9081,0.348,0.424
200,11,0.01776,0.444,2.4404,1.9056,0.347,0.44
201,10,0.02624,0.444,2.4815,1.8768,0.379,0.449
202,7,0.02017,0.444,2.4038,1.8928,0.376,0.471
203,9,0.01874,0.444,2.3797,1.8488,0.418,0.503
204,9,0.02312,0.444,2.4231,1.9761,0.355,0.47
205,12,0.02543,0.444,2.4002,1.9498,0.365,0.454
206,10,0.0278,0.444,2.4325,1.8362,0.406,0.474
207,12,0.02356,0.444,2.4467,1.9144,0.428,0.504
208,8,0.02537,0.444,2.483,1.9291,0.343,0.428
209,11,0.02161,0.444,2.4091,1.84,0.38,0.461
210,9,0.02516,0.444,2.41,1.9346,0.411,0.503
211,8,0.0177,0.444,2.4308,1.9233,0.391,0.477
212,11,0.02749,0.444,2.358,1.875,0.401,0.474
213,9,0.0249,0.444,2.3353,1.8558,0.459,0.535
214,11,0.02249,0.444,2.345,1.8407,0.382,0.458
215,7,0.01311,0.444,2.4031,1.7513,0.327,0.413
216,9,0.01859,0.444,2.4354,1.8694,0.317,0.403
217,7,0.01434,0.444,2.3465,1.8658,0.389,0.499
218,12,0.0204,0.444,2.4698,1.9258,0.388,0.453
219,13,0.02106,0.444,2.4671,1.9428,0.358,0.454
220,7,0.02509,0.444,2.2553,1.8106,0.432,0.52
221,14,0.0249,0.444,2.3945,1.8598,0.376,0.472
222,10,0.02055,0.444,2.4269,1.8032,0.33,0.41
223,11,0.04156,0.296,2.4535,1.8607,0.3,0.411
224,7,0.03818,0.296,2.3775,1.9583,0.389,0.453
225,11,0.02762,0.296,2.3571,1.835,0.402,0.472
226,8,0.0194,0.296,2.3188,1.7998,0.373,0.465
227,8,0.01659,0.296,2.4175,1.8122,0.363,0.411
228,9,0.0114,0.296,2.3591,1.8118,0.343,0.403
229,9,0.01535,0.296,2.3369,1.8197,0.394,0.465
230,8,0.01347,0.296,2.4106,1.8233,0.38,0.431
231,12,0.01407,0.296,2.3427,1.843,0.378,0.44
232,15,0.01334,0.296,2.3491,1.7683,0.348,0.413
233,9,0.01811,0.296,2.3988,1.8509,0.383,0.429
234,7,0.01401,0.296,2.2807,1.7233,0.361,0.422
235,13,0.02133,0.296,2.4103,1.8588,0.352,0.424
236,7,0.02006,0.296,2.3828,1.7368,0.338,0.385
237,7,0.03105,0.296,2.3479,1.82,0.358,0.421
238,11,0.02194,0.296,2.3919,1.8,0.373,0.428
239,9,0.023,0.296,2.3227,1.8117,0.387,0.46
